wastage_id,outlet_id,wastage_date,waste_type,quantity_kg,estimated_cost,reason
2718,1,2019-09-21,unsold_cooked,0.25,33.67,routine
2719,1,2019-09-21,spoilage,0.05,6.61,routine
2720,1,2019-09-21,returned_order,1.24,170.51,routine
2721,2,2019-09-21,prep_waste,0.32,43.8,routine
2722,2,2019-09-21,unsold_cooked,0.11,14.45,routine
2723,2,2019-09-21,spoilage,0.04,5.15,routine
2724,2,2019-09-21,returned_order,0.02,2.52,routine
2725,1,2019-09-22,prep_waste,0.36,52.74,routine
2726,1,2019-09-22,unsold_cooked,0.22,23.74,routine
2727,1,2019-09-22,spoilage,0.05,6.1,routine
2728,1,2019-09-22,returned_order,0.02,2.92,routine
2729,2,2019-09-22,prep_waste,0.44,51.22,routine
2730,2,2019-09-22,unsold_cooked,0.18,23.86,routine
2731,2,2019-09-22,spoilage,0.04,6.6,routine
2732,2,2019-09-22,returned_order,0.02,2.58,routine
2733,1,2019-09-23,prep_waste,0.42,62.47,routine
2734,1,2019-09-23,unsold_cooked,0.23,31.66,routine
2735,1,2019-09-23,spoilage,0.04,5.03,routine
2736,1,2019-09-23,returned_order,0.75,107.64,routine
2737,2,2019-09-23,prep_waste,0.31,38.43,routine
2738,2,2019-09-23,unsold_cooked,0.13,17.58,routine
2739,2,2019-09-23,spoilage,0.05,5.06,routine
2740,2,2019-09-23,returned_order,0.68,77.97,routine
2741,1,2019-09-24,prep_waste,0.32,44.46,routine
2742,1,2019-09-24,unsold_cooked,0.24,29.53,routine
2743,1,2019-09-24,spoilage,0.07,10.56,routine
2744,1,2019-09-24,returned_order,0.02,2.49,routine
2745,2,2019-09-24,prep_waste,0.33,46.4,routine
2746,2,2019-09-24,unsold_cooked,0.1,14.42,routine
2747,2,2019-09-24,spoilage,0.04,6.07,routine
2748,2,2019-09-24,returned_order,1.75,185.31,routine
2749,1,2019-09-25,prep_waste,0.43,49.46,routine
2750,1,2019-09-25,unsold_cooked,0.21,29.42,routine
2751,1,2019-09-25,spoilage,0.03,4.49,routine
2752,1,2019-09-25,returned_order,0.58,88.46,routine
2753,2,2019-09-25,prep_waste,0.3,43.11,routine
2754,2,2019-09-25,unsold_cooked,0.14,19.24,routine
2755,2,2019-09-25,spoilage,0.06,7.97,routine
2756,2,2019-09-25,returned_order,1.11,141.29,routine
2757,1,2019-09-26,prep_waste,0.31,44.07,routine
2758,1,2019-09-26,unsold_cooked,0.15,20.84,routine
2759,1,2019-09-26,spoilage,0.05,6.68,routine
2760,1,2019-09-26,returned_order,1.68,199.81,routine
2761,2,2019-09-26,prep_waste,0.3,40.42,routine
2762,2,2019-09-26,unsold_cooked,0.13,13.49,routine
2763,2,2019-09-26,spoilage,0.06,8.99,routine
2764,2,2019-09-26,returned_order,0.02,2.62,routine
2765,1,2019-09-27,prep_waste,0.34,43.81,routine
2766,1,2019-09-27,unsold_cooked,0.12,15.34,routine
2767,1,2019-09-27,spoilage,0.05,6.08,routine
2768,1,2019-09-27,returned_order,0.55,67.97,routine
2769,2,2019-09-27,prep_waste,0.19,21.35,routine
2770,2,2019-09-27,unsold_cooked,0.22,31.48,routine
2771,2,2019-09-27,spoilage,0.06,8.19,routine
2772,2,2019-09-27,returned_order,0.02,2.78,routine
2773,1,2019-09-28,prep_waste,0.31,39.24,routine
2774,1,2019-09-28,unsold_cooked,0.1,13.7,routine
2775,1,2019-09-28,spoilage,0.04,5.41,routine
2776,1,2019-09-28,returned_order,0.89,113.23,routine
2777,2,2019-09-28,prep_waste,0.42,48.52,routine
2778,2,2019-09-28,unsold_cooked,0.14,17.45,routine
2779,2,2019-09-28,spoilage,0.05,5.16,routine
2780,2,2019-09-28,returned_order,0.02,2.73,routine
2781,1,2019-09-29,prep_waste,0.36,50.66,routine
2782,1,2019-09-29,unsold_cooked,0.14,15.19,routine
2783,1,2019-09-29,spoilage,0.06,9.41,routine
2784,1,2019-09-29,returned_order,0.02,2.12,routine
2785,2,2019-09-29,prep_waste,0.43,46.05,routine
2786,2,2019-09-29,unsold_cooked,0.11,16.55,routine
2787,2,2019-09-29,spoilage,0.05,5.5,routine
2788,2,2019-09-29,returned_order,0.02,2.28,routine
2789,1,2019-09-30,prep_waste,0.33,48.56,routine
2790,1,2019-09-30,unsold_cooked,0.23,24.85,routine
2791,1,2019-09-30,spoilage,0.05,7.55,routine
2792,1,2019-09-30,returned_order,0.6,91.33,routine
2793,2,2019-09-30,prep_waste,0.27,34.74,routine
2794,2,2019-09-30,unsold_cooked,0.23,24.23,routine
2795,2,2019-09-30,spoilage,0.05,5.86,routine
2796,2,2019-09-30,returned_order,0.02,2.57,routine
2797,1,2019-10-01,prep_waste,0.2,28.37,routine
2798,1,2019-10-01,unsold_cooked,0.18,19.42,routine
2799,1,2019-10-01,spoilage,0.03,4.87,routine
2800,1,2019-10-01,returned_order,0.02,2.36,routine
2801,2,2019-10-01,prep_waste,0.21,27.29,routine
2802,2,2019-10-01,unsold_cooked,0.15,19.52,routine
2803,2,2019-10-01,spoilage,0.07,8.76,routine
2804,2,2019-10-01,returned_order,0.02,2.31,routine
2805,1,2019-10-02,prep_waste,0.22,23.83,routine
2806,1,2019-10-02,unsold_cooked,0.17,20.33,routine
2807,1,2019-10-02,spoilage,0.07,7.27,routine
2808,1,2019-10-02,returned_order,0.02,2.39,routine
2809,2,2019-10-02,prep_waste,0.35,36.82,routine
2810,2,2019-10-02,unsold_cooked,0.22,31.71,routine
2811,2,2019-10-02,spoilage,0.08,8.5,routine
2812,2,2019-10-02,returned_order,0.02,2.49,routine
2813,1,2019-10-03,prep_waste,0.43,56.86,routine
2814,1,2019-10-03,unsold_cooked,0.2,29.32,routine
2815,1,2019-10-03,spoilage,0.07,9.95,routine
2816,1,2019-10-03,returned_order,0.56,72.59,routine
2817,2,2019-10-03,prep_waste,0.27,39.39,routine
2818,2,2019-10-03,unsold_cooked,0.15,22.3,routine
2819,2,2019-10-03,spoilage,0.06,8.74,routine
2820,2,2019-10-03,returned_order,0.02,2.13,routine
2821,1,2019-10-04,prep_waste,0.19,28.46,routine
2822,1,2019-10-04,unsold_cooked,0.11,15.38,routine
2823,1,2019-10-04,spoilage,0.08,11.52,routine
2824,1,2019-10-04,returned_order,0.02,3.03,routine
2825,2,2019-10-04,prep_waste,0.43,55.6,routine
2826,2,2019-10-04,unsold_cooked,0.1,12.18,routine
2827,2,2019-10-04,spoilage,0.07,8.56,routine
2828,2,2019-10-04,returned_order,0.02,2.38,routine
2829,1,2019-10-05,prep_waste,0.29,41.86,routine
2830,1,2019-10-05,unsold_cooked,0.17,25.71,routine
2831,1,2019-10-05,spoilage,0.04,5.21,routine
2832,1,2019-10-05,returned_order,0.02,2.13,routine
2833,2,2019-10-05,prep_waste,0.19,25.11,routine
2834,2,2019-10-05,unsold_cooked,0.17,20.43,routine
2835,2,2019-10-05,spoilage,0.07,8.92,routine
2836,2,2019-10-05,returned_order,0.02,2.64,routine
2837,1,2019-10-06,prep_waste,0.41,57.0,routine
2838,1,2019-10-06,unsold_cooked,0.15,22.43,routine
2839,1,2019-10-06,spoilage,0.07,9.34,routine
2840,1,2019-10-06,returned_order,2.5,340.22,routine
2841,2,2019-10-06,prep_waste,0.32,48.95,routine
2842,2,2019-10-06,unsold_cooked,0.1,12.73,routine
2843,2,2019-10-06,spoilage,0.04,4.51,routine
2844,2,2019-10-06,returned_order,0.02,2.55,routine
2845,1,2019-10-07,prep_waste,0.36,41.07,routine
2846,1,2019-10-07,unsold_cooked,0.16,18.77,routine
2847,1,2019-10-07,spoilage,0.08,9.66,routine
2848,1,2019-10-07,returned_order,0.02,2.8,routine
2849,2,2019-10-07,prep_waste,0.21,26.05,routine
2850,2,2019-10-07,unsold_cooked,0.14,18.82,routine
2851,2,2019-10-07,spoilage,0.07,8.42,routine
2852,2,2019-10-07,returned_order,0.02,2.53,routine
2853,1,2019-10-08,prep_waste,0.18,20.9,routine
2854,1,2019-10-08,unsold_cooked,0.17,20.18,routine
2855,1,2019-10-08,spoilage,0.07,7.81,routine
2856,1,2019-10-08,returned_order,0.02,2.35,routine
2857,2,2019-10-08,prep_waste,0.24,35.88,routine
2858,2,2019-10-08,unsold_cooked,0.12,12.92,routine
2859,2,2019-10-08,spoilage,0.06,6.75,routine
2860,2,2019-10-08,returned_order,0.78,96.74,routine
2861,1,2019-10-09,prep_waste,0.42,63.48,routine
2862,1,2019-10-09,unsold_cooked,0.19,21.04,routine
2863,1,2019-10-09,spoilage,0.04,6.05,routine
2864,1,2019-10-09,returned_order,0.02,2.87,routine
2865,2,2019-10-09,prep_waste,0.37,44.83,routine
2866,2,2019-10-09,unsold_cooked,0.16,18.0,routine
2867,2,2019-10-09,spoilage,0.07,10.84,routine
2868,2,2019-10-09,returned_order,0.02,2.12,routine
2869,1,2019-10-10,prep_waste,0.19,23.73,routine
2870,1,2019-10-10,unsold_cooked,0.22,27.96,routine
2871,1,2019-10-10,spoilage,0.05,6.41,routine
2872,1,2019-10-10,returned_order,0.02,2.24,routine
2873,2,2019-10-10,prep_waste,0.35,38.41,routine
2874,2,2019-10-10,unsold_cooked,0.16,20.06,routine
2875,2,2019-10-10,spoilage,0.08,11.65,routine
2876,2,2019-10-10,returned_order,0.02,2.13,routine
2877,1,2019-10-11,prep_waste,0.37,47.51,routine
2878,1,2019-10-11,unsold_cooked,0.2,24.59,routine
2879,1,2019-10-11,spoilage,0.06,6.53,routine
2880,1,2019-10-11,returned_order,0.02,2.77,routine
2881,2,2019-10-11,prep_waste,0.4,55.85,routine
2882,2,2019-10-11,unsold_cooked,0.11,17.15,routine
2883,2,2019-10-11,spoilage,0.05,7.18,routine
2884,2,2019-10-11,returned_order,0.02,2.4,routine
2885,1,2019-10-12,prep_waste,0.43,48.78,routine
2886,1,2019-10-12,unsold_cooked,0.14,18.35,routine
2887,1,2019-10-12,spoilage,0.06,5.98,routine
2888,1,2019-10-12,returned_order,0.02,2.28,routine
2889,2,2019-10-12,prep_waste,0.27,41.16,routine
2890,2,2019-10-12,unsold_cooked,0.11,16.42,routine
2891,2,2019-10-12,spoilage,0.06,7.87,routine
2892,2,2019-10-12,returned_order,0.02,2.12,routine
2893,1,2019-10-13,prep_waste,0.42,49.58,routine
2894,1,2019-10-13,unsold_cooked,0.12,16.13,routine
2895,1,2019-10-13,spoilage,0.07,8.18,routine
2896,1,2019-10-13,returned_order,0.02,2.18,routine
2897,2,2019-10-13,prep_waste,0.3,40.88,routine
2898,2,2019-10-13,unsold_cooked,0.12,16.51,routine
2899,2,2019-10-13,spoilage,0.05,8.11,routine
2900,2,2019-10-13,returned_order,0.02,2.36,routine
2901,1,2019-10-14,prep_waste,0.4,52.83,routine
2902,1,2019-10-14,unsold_cooked,0.27,41.29,routine
2903,1,2019-10-14,spoilage,0.05,6.95,routine
2904,1,2019-10-14,returned_order,0.02,2.46,routine
2905,2,2019-10-14,prep_waste,0.38,51.39,routine
2906,2,2019-10-14,unsold_cooked,0.11,16.93,routine
2907,2,2019-10-14,spoilage,0.05,6.0,routine
2908,2,2019-10-14,returned_order,0.02,2.92,routine
2909,1,2019-10-15,prep_waste,0.37,50.28,routine
2910,1,2019-10-15,unsold_cooked,0.14,18.76,routine
2911,1,2019-10-15,spoilage,0.04,4.77,routine
2912,1,2019-10-15,returned_order,0.02,2.67,routine
2913,2,2019-10-15,prep_waste,0.22,32.26,routine
2914,2,2019-10-15,unsold_cooked,0.16,20.92,routine
2915,2,2019-10-15,spoilage,0.03,4.64,routine
2916,2,2019-10-15,returned_order,0.02,2.57,routine
2917,1,2019-10-16,prep_waste,0.42,63.64,routine
2918,1,2019-10-16,unsold_cooked,0.15,19.53,routine
2919,1,2019-10-16,spoilage,0.04,5.14,routine
2920,1,2019-10-16,returned_order,0.02,2.2,routine
2921,2,2019-10-16,prep_waste,0.27,36.03,routine
2922,2,2019-10-16,unsold_cooked,0.23,32.65,routine
2923,2,2019-10-16,spoilage,0.08,8.96,routine
2924,2,2019-10-16,returned_order,0.82,118.73,routine
2925,1,2019-10-17,prep_waste,0.37,45.81,routine
2926,1,2019-10-17,unsold_cooked,0.14,16.11,routine
2927,1,2019-10-17,spoilage,0.04,4.35,routine
2928,1,2019-10-17,returned_order,1.76,247.98,routine
2929,2,2019-10-17,prep_waste,0.4,48.01,routine
2930,2,2019-10-17,unsold_cooked,0.11,16.75,routine
2931,2,2019-10-17,spoilage,0.06,8.03,routine
2932,2,2019-10-17,returned_order,0.02,2.31,routine
2933,1,2019-10-18,prep_waste,0.25,29.45,routine
2934,1,2019-10-18,unsold_cooked,0.16,17.51,routine
2935,1,2019-10-18,spoilage,0.06,8.3,routine
2936,1,2019-10-18,returned_order,0.86,126.21,routine
2937,2,2019-10-18,prep_waste,0.3,35.46,routine
2938,2,2019-10-18,unsold_cooked,0.18,19.37,routine
2939,2,2019-10-18,spoilage,0.04,6.59,routine
2940,2,2019-10-18,returned_order,0.02,2.4,routine
2941,1,2019-10-19,prep_waste,0.27,41.21,routine
2942,1,2019-10-19,unsold_cooked,0.23,26.83,routine
2943,1,2019-10-19,spoilage,0.07,7.74,routine
2944,1,2019-10-19,returned_order,0.68,82.22,routine
2945,2,2019-10-19,prep_waste,0.25,37.2,routine
2946,2,2019-10-19,unsold_cooked,0.14,19.41,routine
2947,2,2019-10-19,spoilage,0.06,6.24,routine
2948,2,2019-10-19,returned_order,0.69,105.67,routine
2949,1,2019-10-20,prep_waste,0.31,39.75,routine
2950,1,2019-10-20,unsold_cooked,0.15,21.41,routine
2951,1,2019-10-20,spoilage,0.05,6.81,routine
2952,1,2019-10-20,returned_order,0.7,75.02,routine
2953,2,2019-10-20,prep_waste,0.41,54.48,routine
2954,2,2019-10-20,unsold_cooked,0.2,26.12,routine
2955,2,2019-10-20,spoilage,0.07,8.64,routine
2956,2,2019-10-20,returned_order,0.02,2.68,routine
2957,1,2019-10-21,prep_waste,0.35,49.33,routine
2958,1,2019-10-21,unsold_cooked,0.15,20.73,routine
2959,1,2019-10-21,spoilage,0.06,7.98,routine
2960,1,2019-10-21,returned_order,0.02,2.18,routine
2961,2,2019-10-21,prep_waste,0.44,64.75,routine
2962,2,2019-10-21,unsold_cooked,0.24,29.32,routine
2963,2,2019-10-21,spoilage,0.06,6.95,routine
2964,2,2019-10-21,returned_order,0.02,2.13,routine
2965,1,2019-10-22,prep_waste,0.39,41.66,routine
2966,1,2019-10-22,unsold_cooked,0.12,15.85,routine
2967,1,2019-10-22,spoilage,0.05,7.76,routine
2968,1,2019-10-22,returned_order,0.02,2.84,routine
2969,2,2019-10-22,prep_waste,0.29,30.87,routine
2970,2,2019-10-22,unsold_cooked,0.19,27.54,routine
2971,2,2019-10-22,spoilage,0.05,5.97,routine
2972,2,2019-10-22,returned_order,0.02,2.32,routine
2973,1,2019-10-23,prep_waste,0.34,42.17,routine
2974,1,2019-10-23,unsold_cooked,0.2,21.7,routine
2975,1,2019-10-23,spoilage,0.07,11.44,routine
2976,1,2019-10-23,returned_order,0.02,2.45,routine
2977,2,2019-10-23,prep_waste,0.23,29.88,routine
2978,2,2019-10-23,unsold_cooked,0.16,20.16,routine
2979,2,2019-10-23,spoilage,0.03,4.19,routine
2980,2,2019-10-23,returned_order,0.02,2.9,routine
2981,1,2019-10-24,prep_waste,0.23,24.69,routine
2982,1,2019-10-24,unsold_cooked,0.15,23.35,routine
2983,1,2019-10-24,spoilage,0.06,9.82,routine
2984,1,2019-10-24,returned_order,0.02,3.07,routine
2985,2,2019-10-24,prep_waste,0.34,47.96,routine
2986,2,2019-10-24,unsold_cooked,0.24,26.08,routine
2987,2,2019-10-24,spoilage,0.08,10.82,routine
2988,2,2019-10-24,returned_order,0.02,2.34,routine
2989,1,2019-10-25,prep_waste,0.19,22.45,routine
2990,1,2019-10-25,unsold_cooked,0.15,16.43,routine
2991,1,2019-10-25,spoilage,0.06,8.33,routine
2992,1,2019-10-25,returned_order,0.02,2.72,routine
2993,2,2019-10-25,prep_waste,0.28,42.27,routine
2994,2,2019-10-25,unsold_cooked,0.12,17.28,routine
2995,2,2019-10-25,spoilage,0.04,6.32,routine
2996,2,2019-10-25,returned_order,0.02,2.82,routine
2997,1,2019-10-26,prep_waste,0.22,28.92,routine
2998,1,2019-10-26,unsold_cooked,0.19,24.13,routine
2999,1,2019-10-26,spoilage,0.07,7.86,routine
3000,1,2019-10-26,returned_order,0.02,2.63,routine
3001,2,2019-10-26,prep_waste,0.3,38.64,routine
3002,2,2019-10-26,unsold_cooked,0.2,25.32,routine
3003,2,2019-10-26,spoilage,0.04,5.68,routine
3004,2,2019-10-26,returned_order,0.02,3.01,routine
3005,1,2019-10-27,prep_waste,0.3,35.26,routine
3006,1,2019-10-27,unsold_cooked,0.23,31.59,routine
3007,1,2019-10-27,spoilage,0.04,5.58,routine
3008,1,2019-10-27,returned_order,1.1,162.83,routine
3009,2,2019-10-27,prep_waste,0.25,26.61,routine
3010,2,2019-10-27,unsold_cooked,0.19,28.85,routine
3011,2,2019-10-27,spoilage,0.07,8.56,routine
3012,2,2019-10-27,returned_order,0.02,2.46,routine
3013,1,2019-10-28,prep_waste,0.26,40.46,routine
3014,1,2019-10-28,unsold_cooked,0.19,28.83,routine
3015,1,2019-10-28,spoilage,0.05,6.97,routine
3016,1,2019-10-28,returned_order,0.02,2.31,routine
3017,2,2019-10-28,prep_waste,0.28,36.91,routine
3018,2,2019-10-28,unsold_cooked,0.11,14.25,routine
3019,2,2019-10-28,spoilage,0.04,5.73,routine
3020,2,2019-10-28,returned_order,0.02,2.19,routine
3021,1,2019-10-29,prep_waste,0.44,54.58,routine
3022,1,2019-10-29,unsold_cooked,0.12,17.18,routine
3023,1,2019-10-29,spoilage,0.04,6.07,routine
3024,1,2019-10-29,returned_order,0.82,108.09,routine
3025,2,2019-10-29,prep_waste,0.22,30.99,routine
3026,2,2019-10-29,unsold_cooked,0.19,24.26,routine
3027,2,2019-10-29,spoilage,0.08,9.59,routine
3028,2,2019-10-29,returned_order,0.02,2.95,routine
3029,1,2019-10-30,prep_waste,0.44,47.07,routine
3030,1,2019-10-30,unsold_cooked,0.27,36.55,routine
3031,1,2019-10-30,spoilage,0.04,5.55,routine
3032,1,2019-10-30,returned_order,0.68,79.0,routine
3033,2,2019-10-30,prep_waste,0.42,56.08,routine
3034,2,2019-10-30,unsold_cooked,0.16,21.58,routine
3035,2,2019-10-30,spoilage,0.07,9.41,routine
3036,2,2019-10-30,returned_order,0.02,2.52,routine
3037,1,2019-10-31,prep_waste,0.25,33.36,routine
3038,1,2019-10-31,unsold_cooked,0.22,25.7,routine
3039,1,2019-10-31,spoilage,0.06,6.85,routine
3040,1,2019-10-31,returned_order,0.02,2.44,routine
3041,2,2019-10-31,prep_waste,0.2,24.16,routine
3042,2,2019-10-31,unsold_cooked,0.19,23.33,routine
3043,2,2019-10-31,spoilage,0.05,7.64,routine
3044,2,2019-10-31,returned_order,0.02,2.8,routine
3045,1,2019-11-01,prep_waste,0.24,27.72,routine
3046,1,2019-11-01,unsold_cooked,0.24,30.31,routine
3047,1,2019-11-01,spoilage,0.05,6.32,routine
3048,1,2019-11-01,returned_order,0.02,2.28,routine
3049,2,2019-11-01,prep_waste,0.19,28.95,routine
3050,2,2019-11-01,unsold_cooked,0.13,14.92,routine
3051,2,2019-11-01,spoilage,0.05,6.84,routine
3052,2,2019-11-01,returned_order,0.02,2.16,routine
3053,1,2019-11-02,prep_waste,0.29,39.31,routine
3054,1,2019-11-02,unsold_cooked,0.21,32.29,routine
3055,1,2019-11-02,spoilage,0.07,9.96,routine
3056,1,2019-11-02,returned_order,0.02,2.43,routine
3057,2,2019-11-02,prep_waste,0.39,48.2,routine
3058,2,2019-11-02,unsold_cooked,0.24,34.89,routine
3059,2,2019-11-02,spoilage,0.04,4.68,routine
3060,2,2019-11-02,returned_order,0.02,2.83,routine
3061,1,2019-11-03,prep_waste,0.39,59.69,routine
3062,1,2019-11-03,unsold_cooked,0.14,16.52,routine
3063,1,2019-11-03,spoilage,0.04,4.78,routine
3064,1,2019-11-03,returned_order,0.64,75.99,routine
3065,2,2019-11-03,prep_waste,0.44,62.66,routine
3066,2,2019-11-03,unsold_cooked,0.13,19.11,routine
3067,2,2019-11-03,spoilage,0.05,6.1,routine
3068,2,2019-11-03,returned_order,0.02,2.71,routine
3069,1,2019-11-04,prep_waste,0.35,51.91,routine
3070,1,2019-11-04,unsold_cooked,0.12,15.9,routine
3071,1,2019-11-04,spoilage,0.07,10.31,routine
3072,1,2019-11-04,returned_order,0.6,81.28,routine
3073,2,2019-11-04,prep_waste,0.38,56.41,routine
3074,2,2019-11-04,unsold_cooked,0.18,20.71,routine
3075,2,2019-11-04,spoilage,0.06,6.65,routine
3076,2,2019-11-04,returned_order,0.02,2.28,routine
3077,1,2019-11-05,prep_waste,0.36,48.54,routine
3078,1,2019-11-05,unsold_cooked,0.2,22.77,routine
3079,1,2019-11-05,spoilage,0.03,4.99,routine
3080,1,2019-11-05,returned_order,0.56,77.91,routine
3081,2,2019-11-05,prep_waste,0.35,48.42,routine
3082,2,2019-11-05,unsold_cooked,0.11,11.44,routine
3083,2,2019-11-05,spoilage,0.04,5.22,routine
3084,2,2019-11-05,returned_order,0.02,2.53,routine
3085,1,2019-11-06,prep_waste,0.43,59.67,routine
3086,1,2019-11-06,unsold_cooked,0.14,18.72,routine
3087,1,2019-11-06,spoilage,0.08,9.78,routine
3088,1,2019-11-06,returned_order,0.02,2.88,routine
3089,2,2019-11-06,prep_waste,0.29,41.91,routine
3090,2,2019-11-06,unsold_cooked,0.21,22.23,routine
3091,2,2019-11-06,spoilage,0.08,10.86,routine
3092,2,2019-11-06,returned_order,0.02,2.39,routine
3093,1,2019-11-07,prep_waste,0.19,20.4,routine
3094,1,2019-11-07,unsold_cooked,0.2,27.94,routine
3095,1,2019-11-07,spoilage,0.05,5.29,routine
3096,1,2019-11-07,returned_order,0.02,2.72,routine
3097,2,2019-11-07,prep_waste,0.18,24.62,routine
3098,2,2019-11-07,unsold_cooked,0.13,18.1,routine
3099,2,2019-11-07,spoilage,0.04,5.47,routine
3100,2,2019-11-07,returned_order,0.02,2.71,routine
3101,1,2019-11-08,prep_waste,0.36,44.74,routine
3102,1,2019-11-08,unsold_cooked,0.2,27.23,routine
3103,1,2019-11-08,spoilage,0.07,8.91,routine
3104,1,2019-11-08,returned_order,0.78,84.61,routine
3105,2,2019-11-08,prep_waste,0.4,52.28,routine
3106,2,2019-11-08,unsold_cooked,0.17,20.46,routine
3107,2,2019-11-08,spoilage,0.05,4.93,routine
3108,2,2019-11-08,returned_order,0.02,2.59,routine
3109,1,2019-11-09,prep_waste,0.3,35.33,routine
3110,1,2019-11-09,unsold_cooked,0.22,33.25,routine
3111,1,2019-11-09,spoilage,0.07,9.06,routine
3112,1,2019-11-09,returned_order,0.02,2.28,routine
3113,2,2019-11-09,prep_waste,0.43,46.68,routine
3114,2,2019-11-09,unsold_cooked,0.14,20.2,routine
3115,2,2019-11-09,spoilage,0.07,7.7,routine
3116,2,2019-11-09,returned_order,0.02,2.48,routine
3117,1,2019-11-10,prep_waste,0.29,37.23,routine
3118,1,2019-11-10,unsold_cooked,0.14,16.9,routine
3119,1,2019-11-10,spoilage,0.08,8.41,routine
3120,1,2019-11-10,returned_order,1.05,127.18,routine
3121,2,2019-11-10,prep_waste,0.36,41.63,routine
3122,2,2019-11-10,unsold_cooked,0.2,25.67,routine
3123,2,2019-11-10,spoilage,0.03,4.7,routine
3124,2,2019-11-10,returned_order,0.71,87.55,routine
3125,1,2019-11-11,prep_waste,0.44,59.81,routine
3126,1,2019-11-11,unsold_cooked,0.17,24.79,routine
3127,1,2019-11-11,spoilage,0.04,5.17,routine
3128,1,2019-11-11,returned_order,0.02,3.07,routine
3129,2,2019-11-11,prep_waste,0.33,49.11,routine
3130,2,2019-11-11,unsold_cooked,0.1,15.36,routine
3131,2,2019-11-11,spoilage,0.04,4.43,routine
3132,2,2019-11-11,returned_order,0.84,124.52,routine
3133,1,2019-11-12,prep_waste,0.31,33.6,routine
3134,1,2019-11-12,unsold_cooked,0.12,18.74,routine
3135,1,2019-11-12,spoilage,0.08,11.68,routine
3136,1,2019-11-12,returned_order,1.55,230.12,routine
3137,2,2019-11-12,prep_waste,0.31,38.53,routine
3138,2,2019-11-12,unsold_cooked,0.18,20.05,routine
3139,2,2019-11-12,spoilage,0.08,10.25,routine
3140,2,2019-11-12,returned_order,0.65,92.94,routine
3141,1,2019-11-13,prep_waste,0.42,57.69,routine
3142,1,2019-11-13,unsold_cooked,0.11,12.82,routine
3143,1,2019-11-13,spoilage,0.05,5.38,routine
3144,1,2019-11-13,returned_order,0.51,77.82,routine
3145,2,2019-11-13,prep_waste,0.44,59.93,routine
3146,2,2019-11-13,unsold_cooked,0.18,24.2,routine
3147,2,2019-11-13,spoilage,0.08,10.53,routine
3148,2,2019-11-13,returned_order,0.02,2.38,routine
3149,1,2019-11-14,prep_waste,0.4,60.14,routine
3150,1,2019-11-14,unsold_cooked,0.19,20.9,routine
3151,1,2019-11-14,spoilage,0.06,8.38,routine
3152,1,2019-11-14,returned_order,0.02,2.89,routine
3153,2,2019-11-14,prep_waste,0.25,31.56,routine
3154,2,2019-11-14,unsold_cooked,0.24,29.7,routine
3155,2,2019-11-14,spoilage,0.07,8.2,routine
3156,2,2019-11-14,returned_order,0.02,2.59,routine
3157,1,2019-11-15,prep_waste,0.43,57.82,routine
3158,1,2019-11-15,unsold_cooked,0.15,20.73,routine
3159,1,2019-11-15,spoilage,0.05,6.3,routine
3160,1,2019-11-15,returned_order,0.02,3.09,routine
3161,2,2019-11-15,prep_waste,0.42,47.52,routine
3162,2,2019-11-15,unsold_cooked,0.19,28.09,routine
3163,2,2019-11-15,spoilage,0.04,4.86,routine
3164,2,2019-11-15,returned_order,0.02,2.18,routine
3165,1,2019-11-16,prep_waste,0.32,35.28,routine
3166,1,2019-11-16,unsold_cooked,0.17,19.67,routine
3167,1,2019-11-16,spoilage,0.07,10.23,routine
3168,1,2019-11-16,returned_order,0.82,88.76,routine
3169,2,2019-11-16,prep_waste,0.42,62.14,routine
3170,2,2019-11-16,unsold_cooked,0.14,17.46,routine
3171,2,2019-11-16,spoilage,0.08,12.19,routine
3172,2,2019-11-16,returned_order,0.02,2.74,routine
3173,1,2019-11-17,prep_waste,0.35,38.15,routine
3174,1,2019-11-17,unsold_cooked,0.19,23.16,routine
3175,1,2019-11-17,spoilage,0.04,5.41,routine
3176,1,2019-11-17,returned_order,0.74,80.51,routine
3177,2,2019-11-17,prep_waste,0.27,30.82,routine
3178,2,2019-11-17,unsold_cooked,0.18,25.72,routine
3179,2,2019-11-17,spoilage,0.08,9.1,routine
3180,2,2019-11-17,returned_order,0.02,2.34,routine
3181,1,2019-11-18,prep_waste,0.26,29.67,routine
3182,1,2019-11-18,unsold_cooked,0.21,31.95,routine
3183,1,2019-11-18,spoilage,0.05,6.2,routine
3184,1,2019-11-18,returned_order,0.02,2.21,routine
3185,2,2019-11-18,prep_waste,0.2,25.55,routine
3186,2,2019-11-18,unsold_cooked,0.21,22.96,routine
3187,2,2019-11-18,spoilage,0.04,6.24,routine
3188,2,2019-11-18,returned_order,0.02,2.73,routine
3189,1,2019-11-19,prep_waste,0.29,40.86,routine
3190,1,2019-11-19,unsold_cooked,0.15,18.87,routine
3191,1,2019-11-19,spoilage,0.05,7.01,routine
3192,1,2019-11-19,returned_order,0.76,89.52,routine
3193,2,2019-11-19,prep_waste,0.19,20.21,routine
3194,2,2019-11-19,unsold_cooked,0.2,23.63,routine
3195,2,2019-11-19,spoilage,0.06,6.93,routine
3196,2,2019-11-19,returned_order,0.53,63.41,routine
3197,1,2019-11-20,prep_waste,0.31,46.53,routine
3198,1,2019-11-20,unsold_cooked,0.18,19.51,routine
